Standardized_SMILES,CMPD_CHEMBLID,CANONICAL_SMILES,RELATION,STANDARD_VALUE,STANDARD_UNITS,PROTEIN_ACCESSION,PREF_NAME,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS
ClC1=CC=C2C3=C(NC(=N3)C3=C(C=CC=C3C#N)C#N)C3=CC=CC=C3C2=C1,CHEMBL412099,Clc1ccc2c(c1)c3ccccc3c4[nH]c(nc24)c5c(cccc5C#N)C#N,=,100,nM,O60674,Tyrosine-protein kinase JAK2,18029174,Bioorg. Med. Chem. Lett.,2007,17,24,6816,378.81,5.51,76.25,1
FC1=CC=CC(Cl)=C1C1=NC2=C(N1)C1=CC=CC=C1C1=CC=CC=C21,CHEMBL270347,Fc1cccc(Cl)c1c2nc3c4ccccc4c5ccccc5c3[nH]2,=,900,nM,O60674,Tyrosine-protein kinase JAK2,18029174,Bioorg. Med. Chem. Lett.,2007,17,24,6816,346.78,5.96,28.68,1
COC1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=CC(=C3)N3CCN(C)CC3)=NN12,CHEMBL1923576,COc1ccccc1c2ccc3cnc(Nc4cccc(c4)N5CCN(C)CC5)nn23,=,0.8,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,414.5,4.55,57.93,0
CN(C1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(C=C3)N3CCN(C)CC3)=NN12)S(C)(=O)=O,CHEMBL1821735,CN(c1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nn23)S(=O)(=O)C,=,1.6,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,491.61,3.68,94.46,0
COC1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(C=C3)N3CCN(C)CC3)=NN12,CHEMBL1822515,COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nn23,=,0.17,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,414.5,4.55,57.93,0
COC1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(N4CCN(C)CC4)C(F)=C3)=NN12,CHEMBL1923583,COc1ccccc1c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(F)c4)nn23,=,0.35,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,432.49,4.76,57.93,0
CN1CCN(CC1)C1=CC=C(NC2=NN3C(=CC=C3C3=CC=CC(=C3)S(=O)(=O)NC(C)(C)C)C=N2)C=C1Cl,CHEMBL1923587,CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5cccc(c5)S(=O)(=O)NC(C)(C)C)n4n3)cc2Cl,=,1.2,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,554.11,5.07,103.25,2
COC1=CC=C(C=N1)C1=CC=C2C=NC(NC3=CC=C(C=C3)C3CCN(C[C@H](C)O)CC3)=NN12,CHEMBL1923594,COc1ccc(cn1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(C[C@H](C)O)CC5)nn23,=,0.5,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,458.56,4.35,87.81,0
CN(C1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(N4CCN(C)CC4)C(Cl)=C3)=NN12)S(C)(=O)=O,CHEMBL1923582,CN(c1ccccc1c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)S(=O)(=O)C,=,1.1,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,526.05,4.35,94.46,1
C[C@@H](NC(=O)C1=CNC2=NC=C(N=C12)C1=CN=C2C=C(Cl)C=CN12)C(=O)N1CC(C1)C#N,CHEMBL2376159,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3cnc4cc(Cl)ccn34)C(=O)N5CC(C5)C#N,=,57,nM,O60674,Tyrosine-protein kinase JAK2,23540648,Bioorg. Med. Chem. Lett.,2013,23,9,2793,448.87,0.9,132.07,0
CN1N=C(C2=CC=C(Cl)C=C12)C1=CN=C2NC=C(C(=O)N[C@H](C3CC3)C(=O)N3CC(C3)C#N)C2=N1,CHEMBL2376154,Cn1nc(c2cnc3[nH]cc(C(=O)N[C@H](C4CC4)C(=O)N5CC(C5)C#N)c3n2)c6ccc(Cl)cc16,=,1.1,nM,O60674,Tyrosine-protein kinase JAK2,23540648,Bioorg. Med. Chem. Lett.,2013,23,9,2793,488.93,2.48,132.58,0
C[C@@H](NC(=O)C1=CNC2=NC=C(N=C12)C1=NN(C)C2=CC(=CC=C12)C(C)(C)C)C(=O)N1CC(C1)C#N,CHEMBL2376151,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(ccc34)C(C)(C)C)C(=O)N5CC(C5)C#N,=,13,nM,O60674,Tyrosine-protein kinase JAK2,23540648,Bioorg. Med. Chem. Lett.,2013,23,9,2793,484.55,2.74,132.58,0
ClC1=CC=C(OCC2=CC=CC=C2)C(\C=C2\C(=O)NN(C2=O)C2=CC=CC=C2)=C1,CHEMBL3115323,Clc1ccc(OCc2ccccc2)c(\C=C/3\C(=O)NN(C3=O)c4ccccc4)c1,=,15000,nM,O60674,Tyrosine-protein kinase JAK2,23993776,Bioorg. Med. Chem. Lett.,2013,23,20,5721,404.85,4.48,58.64,0
COC1=CC(=CC(OC)=C1OC)C1=CN=C2C=CC=C(C3=CC=C(CC(=O)N4CCOCC4)C=C3)C2=N1,CHEMBL1093191,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CC(=O)N5CCOCC5)cc4)c3n2,=,13,nM,O60674,Tyrosine-protein kinase JAK2,20231096,Bioorg. Med. Chem. Lett.,2010,20,8,2609,499.56,3.85,83.01,0
